Silhouette Studio Level Testing Document,,,,,,4.2.233,
Win P,Mac P,Level,Task,Notes,Ticket No.,Win,Mac
"=if(IFERROR(search(""Success"",INDIRECT(""G1381""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1381""))>0,0),""Mac Pass"",""Mac Fail"")",,Emboss Tool (Fine),Default. Only available for Curio.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1382""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1382""))>0,0),""Mac Pass"",""Mac Fail"")",,Emboss Tool (Wide),Only available for Curio.,,,
Stipple,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1384""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1384""))>0,0),""Mac Pass"",""Mac Fail"")",,Stipple Tool,Only available for Curio.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1385""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1385""))>0,0),""Mac Pass"",""Mac Fail"")",,Sketch Pen,Default,,,
Action by,,,,,,,
Simple,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1388""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1388""))>0,0),""Mac Pass"",""Mac Fail"")",,No Cut,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1389""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1389""))>0,0),""Mac Pass"",""Mac Fail"")",,Cut,Default,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1390""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1390""))>0,0),""Mac Pass"",""Mac Fail"")",,Cut Edge,,,,
Line Color,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1392""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1392""))>0,0),""Mac Pass"",""Mac Fail"")",,Toggle selected Line Colour on / off for cutting,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1393""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1393""))>0,0),""Mac Pass"",""Mac Fail"")",,Auto Weld shapes of selected Line Colour,,,,
Fill Color,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1395""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1395""))>0,0),""Mac Pass"",""Mac Fail"")",,Toggle selected Fill Colour on / off for cutting,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1396""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1396""))>0,0),""Mac Pass"",""Mac Fail"")",,Auto Weld shapes of selected Fill Colour,,,,
Layer,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1398""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1398""))>0,0),""Mac Pass"",""Mac Fail"")",,Toggle selected Layer on / off for cutting,Designer Edition and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1399""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1399""))>0,0),""Mac Pass"",""Mac Fail"")",,Auto Weld shapes on selected Layer,Designer Edition and above.,,,
Edit Materials,,,,,,,
Edit Cut settings,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1402""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1402""))>0,0),""Mac Pass"",""Mac Fail"")",,Speed (2 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1403""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1403""))>0,0),""Mac Pass"",""Mac Fail"")",,Thickness (2 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1404""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1404""))>0,0),""Mac Pass"",""Mac Fail"")",,Select Blade type,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1405""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1405""))>0,0),""Mac Pass"",""Mac Fail"")",,Set Blade Depth,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1406""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1406""))>0,0),""Mac Pass"",""Mac Fail"")",,Toggle Double Pass On / Off,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1407""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1407""))>0,0),""Mac Pass"",""Mac Fail"")",,Toggle Track Enhancing On / Off,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1408""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1408""))>0,0),""Mac Pass"",""Mac Fail"")",,Toggle Line Seqment Overcut On / Off,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1409""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1409""))>0,0),""Mac Pass"",""Mac Fail"")",,Overcut Start Ext. (2 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1410""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1410""))>0,0),""Mac Pass"",""Mac Fail"")",,Overcut End Ext. (2 inputs),,,,
Edit Score settings,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1412""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1412""))>0,0),""Mac Pass"",""Mac Fail"")",,Speed (2 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1413""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1413""))>0,0),""Mac Pass"",""Mac Fail"")",,Thickness (2 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1414""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1414""))>0,0),""Mac Pass"",""Mac Fail"")",,Select Blade type,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1415""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1415""))>0,0),""Mac Pass"",""Mac Fail"")",,Set Blade Depth,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1416""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1416""))>0,0),""Mac Pass"",""Mac Fail"")",,Toggle Double Pass On / Off,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1417""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1417""))>0,0),""Mac Pass"",""Mac Fail"")",,Toggle Track Enhancing On / Off,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1418""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1418""))>0,0),""Mac Pass"",""Mac Fail"")",,Toggle Line Seqment Overcut On / Off,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1419""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1419""))>0,0),""Mac Pass"",""Mac Fail"")",,Overcut Start Ext. (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1420""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1420""))>0,0),""Mac Pass"",""Mac Fail"")",,Overcut End Ext. (3 inputs),,,,
Edit Sketch settings,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1422""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1422""))>0,0),""Mac Pass"",""Mac Fail"")",,Speed (2 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1423""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1423""))>0,0),""Mac Pass"",""Mac Fail"")",,Thickness (2 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1424""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1424""))>0,0),""Mac Pass"",""Mac Fail"")",,Select Pen type,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1425""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1425""))>0,0),""Mac Pass"",""Mac Fail"")",,Toggle Double Pass On / Off,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1426""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1426""))>0,0),""Mac Pass"",""Mac Fail"")",,Toggle Track Enhancing On / Off,,,,
Edit Emboss settings,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1428""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1428""))>0,0),""Mac Pass"",""Mac Fail"")",,Speed (2 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1429""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1429""))>0,0),""Mac Pass"",""Mac Fail"")",,Thickness (2 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1430""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1430""))>0,0),""Mac Pass"",""Mac Fail"")",,Select Embossing tool,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1431""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1431""))>0,0),""Mac Pass"",""Mac Fail"")",,Toggle Double Pass On / Off,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1432""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1432""))>0,0),""Mac Pass"",""Mac Fail"")",,Toggle Track Enhancing On / Off,,,,
Edit Stipple settings,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1434""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1434""))>0,0),""Mac Pass"",""Mac Fail"")",,Speed (2 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1435""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1435""))>0,0),""Mac Pass"",""Mac Fail"")",,Thickness (2 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1436""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1436""))>0,0),""Mac Pass"",""Mac Fail"")",,Select Stipple tool,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1437""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1437""))>0,0),""Mac Pass"",""Mac Fail"")",,Toggle Double Pass On / Off,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1438""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1438""))>0,0),""Mac Pass"",""Mac Fail"")",,Toggle Track Enhancing On / Off,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1439""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1439""))>0,0),""Mac Pass"",""Mac Fail"")",,Stipple Size (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1440""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1440""))>0,0),""Mac Pass"",""Mac Fail"")",,Toggle Increased Stipple Force On / Off,,,,
Advanced,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1442""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1442""))>0,0),""Mac Pass"",""Mac Fail"")",,Restore Default Materials,,,,
Feed Options,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1444""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1444""))>0,0),""Mac Pass"",""Mac Fail"")",,Return to Origin,Default,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1445""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1445""))>0,0),""Mac Pass"",""Mac Fail"")",,Feed After Cut Job (2 inputs),,,,
Layer Sorting,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1447""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1447""))>0,0),""Mac Pass"",""Mac Fail"")",,No Sort,Designer Edition and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1448""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1448""))>0,0),""Mac Pass"",""Mac Fail"")",,Group layers by Condition,Designer Edition and above.,,,
Cut Line Sorting,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1450""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1450""))>0,0),""Mac Pass"",""Mac Fail"")",,No Sort,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1451""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1451""))>0,0),""Mac Pass"",""Mac Fail"")",,Maximize Speed,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1452""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1452""))>0,0),""Mac Pass"",""Mac Fail"")",,Minimize Roller Movement,Default,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1453""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1453""))>0,0),""Mac Pass"",""Mac Fail"")",,Sort Interior Contours First,Default,,,
Stipple sorting ,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1455""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1455""))>0,0),""Mac Pass"",""Mac Fail"")",,Default,Requires a Cuiro to be connected.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1456""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1456""))>0,0),""Mac Pass"",""Mac Fail"")",,Center to edge,Requires a Cuiro to be connected.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1457""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1457""))>0,0),""Mac Pass"",""Mac Fail"")",,Edge to center,Requires a Cuiro to be connected.,,,
Display,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1459""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1459""))>0,0),""Mac Pass"",""Mac Fail"")",,Show Material column in Action,,,,
Multi-Tool Support,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1461""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1461""))>0,0),""Mac Pass"",""Mac Fail"")",,Assign different Line / Fill Colors to different tools.,Only available for Curio & Cameo 3.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1462""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1462""))>0,0),""Mac Pass"",""Mac Fail"")",,Assign different Layers to different tools.,Only available for Curio & Cameo 3.,,,
Cutting,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1464""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1464""))>0,0),""Mac Pass"",""Mac Fail"")",,Send same Design again to Queue Cut Job,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1465""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1465""))>0,0),""Mac Pass"",""Mac Fail"")",,Send multiple designs to single cutter to Queue Cut Jobs,,,,
Shortcuts,,,,,,,
Document Tools,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1468""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1468""))>0,0),""Mac Pass"",""Mac Fail"")",,New,Ctrl+N / CMD+N,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1469""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1469""))>0,0),""Mac Pass"",""Mac Fail"")",,New Project Wizard,Ctrl+Shit+N,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1470""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1470""))>0,0),""Mac Pass"",""Mac Fail"")",,Open,Ctrl+O,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1471""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1471""))>0,0),""Mac Pass"",""Mac Fail"")",,Save,Ctrl+S,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1472""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1472""))>0,0),""Mac Pass"",""Mac Fail"")",,Save As,Ctrl+Shift+S,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1473""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1473""))>0,0),""Mac Pass"",""Mac Fail"")",,Library,Ctrl+Alt+L,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1474""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1474""))>0,0),""Mac Pass"",""Mac Fail"")",,Print,Ctrl+P,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1475""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1475""))>0,0),""Mac Pass"",""Mac Fail"")",,Open PixScan Image,Ctrl+Alt+P / Cmd+Ctrl+P,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1476""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1476""))>0,0),""Mac Pass"",""Mac Fail"")",,Show Store,Ctrl+Alt+S,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1477""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1477""))>0,0),""Mac Pass"",""Mac Fail"")",,Show Desgin Page,Ctrl+Shift+D,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1478""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1478""))>0,0),""Mac Pass"",""Mac Fail"")",,Close Tab,Ctrl+W,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1479""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1479""))>0,0),""Mac Pass"",""Mac Fail"")",,Quit,Ctrl+Q,,,
Cutting & Settings,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1481""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1481""))>0,0),""Mac Pass"",""Mac Fail"")",,Show Design Page Settings,Ctrl+F1 / MAC Cmd + fn + F1,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1482""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1482""))>0,0),""Mac Pass"",""Mac Fail"")",,Open Cut Settings Window,Ctrl+F2 / MAC Cmd + fn + F2,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1483""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1483""))>0,0),""Mac Pass"",""Mac Fail"")",,Open Registration Marks Window,Ctrl+F3 / MAC Cmd + fn + F3,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1484""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1484""))>0,0),""Mac Pass"",""Mac Fail"")",,Send To Silhouette,Ctrl+L,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1485""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1485""))>0,0),""Mac Pass"",""Mac Fail"")",,Open Preferences,Ctrl+K,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1486""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1486""))>0,0),""Mac Pass"",""Mac Fail"")",,Toggle Reg Marks on/off,m,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1487""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1487""))>0,0),""Mac Pass"",""Mac Fail"")",,Cut Style  = Cut,Need to be in Send > Action  section to see the change. Ctrl+T,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1488""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1488""))>0,0),""Mac Pass"",""Mac Fail"")",,Cut Style  = No Cut,Ctrl+Shit+T,,,
Editing Tools,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1490""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1490""))>0,0),""Mac Pass"",""Mac Fail"")",,Undo,Ctrl+Z,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1491""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1491""))>0,0),""Mac Pass"",""Mac Fail"")",,Redo,Ctrl+Shit+Z,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1492""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1492""))>0,0),""Mac Pass"",""Mac Fail"")",,Cut,Ctrl+X,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1493""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1493""))>0,0),""Mac Pass"",""Mac Fail"")",,Copy,Ctrl+C,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1494""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1494""))>0,0),""Mac Pass"",""Mac Fail"")",,Paste,Ctrl+V,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1495""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1495""))>0,0),""Mac Pass"",""Mac Fail"")",,Paste in Front,Ctrl+F,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1496""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1496""))>0,0),""Mac Pass"",""Mac Fail"")",,Duplicate,Ctrl+D,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1497""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1497""))>0,0),""Mac Pass"",""Mac Fail"")",,Select All,Ctrl+A,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1498""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1498""))>0,0),""Mac Pass"",""Mac Fail"")",,Deselect All,Ctrl+Shift+A,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1499""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1499""))>0,0),""Mac Pass"",""Mac Fail"")",,Group Selected,Ctrl+G,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1500""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1500""))>0,0),""Mac Pass"",""Mac Fail"")",,Ungroup,Ctrl+Shift+G,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1501""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1501""))>0,0),""Mac Pass"",""Mac Fail"")",,Make Compound Path,Ctrl+E,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1502""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1502""))>0,0),""Mac Pass"",""Mac Fail"")",,Release Compound Path,Ctrl+Shift+E,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1503""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1503""))>0,0),""Mac Pass"",""Mac Fail"")",,Weld,Ctrl+Shift+W,,,
Desgin Tools,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1505""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1505""))>0,0),""Mac Pass"",""Mac Fail"")",,Text Tool,t,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1506""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1506""))>0,0),""Mac Pass"",""Mac Fail"")",,Knife Tool,k,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1507""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1507""))>0,0),""Mac Pass"",""Mac Fail"")",,Eraser Tool,Shift+E,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1508""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1508""))>0,0),""Mac Pass"",""Mac Fail"")",,Eyedropper Tool,"i (when you have an object selected)
Designer Edition and above.",,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1509""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1509""))>0,0),""Mac Pass"",""Mac Fail"")",,Rotate Origin Tool,"o (when you have an object selected)
Designer Edition and above.",,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1510""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1510""))>0,0),""Mac Pass"",""Mac Fail"")",,Spell Checking,F7 / fn + F7,,,
Drawing Tools,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1512""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1512""))>0,0),""Mac Pass"",""Mac Fail"")",,Select Tool,v,,,
